Q33235441|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q35929213|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q33484935|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q33977581|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q33597026|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q33661035|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q30486063|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q112728437|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q35020492|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q35300142|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q33428336|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q33373553|P4510|Q114076489|P1932|"GLAD"|S248|Q114078827
Q112584809|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q112611468|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q33748981|P4510|Q114076489|P1932|"GLAD"|S248|Q114078827
Q30395012|P4510|Q114077524|P1932|"TCC"|S248|Q114078827
Q33752084|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q55322164|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q35102278|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q34274242|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q28681183|P4510|Q107381604|P1932|"meta"|S248|Q114078827
Q35859380|P4510|Q113334682|P1932|"DSS"|S248|Q114078827
Q27496611|P4510|Q113334682|P1932|"DSS"|S248|Q114078827
Q33575022|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q33826851|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q112294512|P4510|Q114077524|P1932|"TCC"|S248|Q114078827
Q24806088|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q34487194|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q31037981|P4510|Q114076489|P1932|"GLAD"|S248|Q114078827
Q30632661|P4510|Q114077524|P1932|"TCC"|S248|Q114078827
Q33351531|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q34116273|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q33651432|P4510|Q107381604|P1932|"META"|S248|Q114078827
Q34806586|P4510|Q113334682|P1932|"DSS"|S248|Q114078827
Q90364698|P4510|Q107381604|P1932|"meta"|S248|Q114078827
Q35917721|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q36219196|P4510|Q107381604|P1932|"meta"|S248|Q114078827
Q33404441|P4510|Q113334682|P1932|"DSS"|S248|Q114078827
Q90626552|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q94596054|P4510|Q107381604|P1932|"meta"|S248|Q114078827
Q36062895|P4510|Q107381604|P1932|"meta"|S248|Q114078827
Q92909202|P4510|Q107381604|P1932|"meta"|S248|Q114078827
Q47170041|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q33756086|P4510|Q107381604|P1932|"meta"|S248|Q114078827
Q112583507|P4510|Q107381604|P1932|"meta"|S248|Q114078827
Q35691320|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q96127382|P4510|Q113334682|P1932|"DSS"|S248|Q114078827
Q91169697|P4510|Q107381604|P1932|"meta"|S248|Q114078827
Q112585631|P4510|Q107381604|P1932|"meta"|S248|Q114078827
Q34529360|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q34711426|P4510|Q107381604|P1932|"meta"|S248|Q114078827
Q52655627|P4510|Q107381604|P1932|"meta"|S248|Q114078827
Q48109920|P4510|Q107381604|P1932|"Meta"|S248|Q114078827
Q26785746|P4510|Q107381604|P1932|"meta"|S248|Q114078827
Q26785746|P4510|Q107381604|P1932|"Meta"|S248|Q114078827
Q102208752|P4510|Q107381604|P1932|"meta"|S248|Q114078827
Q33688550|P4510|Q107381604|P1932|"meta"|S248|Q114078827
Q34312812|P4510|Q107381604|P1932|"meta"|S248|Q114078827
Q49371405|P4510|Q107381604|P1932|"meta"|S248|Q114078827
Q24288940|P4510|Q107381604|P1932|"meta"|S248|Q114078827
Q34815644|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q27012474|P4510|Q107381604|P1932|"meta"|S248|Q114078827
Q101372029|P4510|Q107381604|P1932|"meta"|S248|Q114078827
Q101241197|P4510|Q107381604|P1932|"meta"|S248|Q114078827
Q57167337|P4510|Q113334727|P1932|"GENIE"|S248|Q114078827
Q91207717|P4510|Q114076509|P1932|"GPA"|S248|Q114078827
Q36083824|P4510|Q114076509|P1932|"GPA"|S248|Q114078827
Q35829424|P4510|Q114076509|P1932|"GPA"|S248|Q114078827
Q90872218|P4510|Q114076509|P1932|"GPA"|S248|Q114078827
Q31039167|P4510|Q114076509|P1932|"GPA"|S248|Q114078827
Q28749865|P4510|Q113334682|P1932|"DSS"|S248|Q114078827
Q33347576|P4510|Q107381604|P1932|"meta"|S248|Q114078827
Q100524549|P4510|Q113334727|P1932|"GENIE"|S248|Q114078827
Q100760448|P4510|Q113334682|P1932|"DSS"|S248|Q114078827
Q33440056|P4510|Q114076489|P1932|"GLAD"|S248|Q114078827
Q91804600|P4510|Q107381604|P1932|"meta"|S248|Q114078827
Q34491930|P4510|Q114076489|P1932|"GLAD"|S248|Q114078827
Q101049605|P4510|Q114077524|P1932|"TCC"|S248|Q114078827
Q91553709|P4510|Q114076662|P1932|"MAST"|S248|Q114078827
Q34566814|P4510|Q113334682|P1932|"DSS"|S248|Q114078827
Q42284446|P4510|Q114076509|P1932|"GPA"|S248|Q114078827
